,symbol,passed,FilterWinLoss1Min,FilterWinLoss1Max,FilterValue1,FilterVolume1
2133,INN,True,-3.9758,2.8623,11.49,214697
2134,MSC,False,-3.6075,5.37,19.5,2
2135,SUM,True,-4.6343,8.7322,19.09,316073
2136,SUI,True,-1.9258,1.9387,142.75,278115
2137,STG,False,-4.6414,10.628,2.22,103
2138,SLF,True,-2.416,1.5736,39.86,196071
2139,SXC,False,-9.4444,5.1916,6.26,472025
2140,SHO,True,-3.1092,3.7908,13.39,730203
2141,SMLP,False,-13.5385,7.8261,5.38,71635
2142,STI,True,-3.966,2.7348,60.79,1041728
2143,SUN,False,-5.2411,2.5601,30.91,104776
2144,SU,True,-3.0442,2.3589,28.67,1653234
2145,SUP,False,-11.1782,20.8333,2.73,149596
2146,SUZ,False,-3.9847,7.9724,16.38,40283
2147,SWZ,False,-2.875,1.8041,8.04,1408
2148,SWCH,True,-2.5641,4.2568,15.34,369515
2149,SPN,False,-27.2377,42.5295,0.53,815433
2150,SNX,True,-5.7904,7.9983,85.24,196833
2151,SYF,True,-3.8571,2.25,34.68,1942946
2152,GJR,False,-0.9919,1.2248,21.94,0
2153,GJT,False,-2.12,2.1161,20.32,0
2154,SYY,True,-2.5544,3.1433,73.36,1382399
2155,SNV,True,-5.9995,2.9734,35.48,688087
2156,SYX,False,-5.3206,15.9808,20.7,24662
2157,GJP,False,-1.4664,1.005,21.86,0
2158,GJV,False,-1.475,1.6157,26.73,0
2159,TWN,False,-5.347,2.3438,17.33,48
2160,TAK,True,-3.1773,4.9493,17.37,467023
2161,TSM,True,-4.2737,5.6421,41.84,3125012
2162,DATA,False,-2.6103,2.4326,169.53,1
2163,TAL,True,-11.3836,3.6212,32.35,1378193
2164,TGE,True,-5.7409,3.4804,16.57,353097
2165,TLRD,False,-8.7838,8.4071,5.0,770478
2166,TRGP,True,-4.4145,5.3927,35.55,982765
2167,TGT,True,-4.375,2.62,84.24,1532928
2168,TTM,False,-5.9603,5.042,8.63,661933
2169,TALO,False,-6.4151,8.9276,20.12,127994
2170,TPR,True,-6.4202,2.9799,26.71,1887328
2171,TCO,False,-3.0615,3.155,41.36,182770
2172,SKT,True,-3.2258,3.1552,15.34,899748
2173,TARO,False,-3.4651,3.5022,83.64,21549
2174,TMHC,True,-4.0956,4.2073,22.84,445119
2175,TCP,False,-3.2199,3.0995,37.29,45749
2176,TSI,False,-1.7391,1.4109,5.75,41094
2177,TISI,False,-4.858,8.5025,17.22,59263
2178,FTI,True,-3.9671,6.025,24.38,1466276
2179,TK,False,-10.2689,9.4763,3.43,262948
2180,TGP,False,-4.6875,4.0475,13.91,38421
2181,TCF,True,-3.4629,3.8703,38.11,408542
2182,TEL,True,-3.7104,2.7415,89.78,682631
2183,TOO,False,-9.4203,11.8367,1.17,34548
2184,TECK,True,-6.4422,4.161,17.45,1574548
2185,TNK,False,-7.3171,6.422,1.01,540975
2186,TGNA,True,-4.6278,3.1922,14.24,747746
2187,GCI,False,-7.6087,19.7468,9.84,198833
2188,TRC,False,-3.9687,5.5455,17.3,25145
2189,HQH,False,-2.4628,2.0239,19.46,58256
2190,HQL,False,-2.5926,1.9011,16.18,34901
2191,THW,False,-2.4738,3.5156,13.49,34977
2192,THQ,False,-2.1839,1.6,17.5,66661
2193,TLRA,False,-9.866,9.8765,8.05,235434
2194,TEO,False,-33.3758,8.0523,10.96,76954
2195,TDOC,True,-5.7877,5.7147,65.92,584855
2196,TEF,False,-3.0864,1.3269,6.96,738028
2197,TFX,False,-2.975,6.4255,370.61,105170
2198,TDA,False,-1.4706,1.8961,25.44,1039
2199,TDY,False,-2.4384,6.2591,296.77,50019
2200,TDE,False,-0.95,0.7457,25.31,3397
2201,TDI,False,-2.0528,2.7335,27.32,127
2202,VIV,True,-2.9696,3.7622,13.12,830894
2203,TDJ,False,-1.0058,0.897,25.61,3700
2204,TDS,True,-12.2599,14.6817,25.33,355415
2205,TDF,False,-3.7786,2.5378,18.3,7996
2206,TU,False,-1.3551,1.3928,36.09,147882
2207,TEI,False,-4.13,0.8929,9.68,47216
2208,GIM,False,-2.3292,0.9479,6.26,122892
2209,TME,True,-6.3244,5.7223,14.54,2135741
2210,TPX,True,-4.9763,3.32,79.32,253628
2211,EMF,False,-3.0749,1.5499,14.31,6003
2212,TS,True,-4.2013,3.8322,22.11,1046383
2213,TNC,False,-4.948,13.3095,68.12,32849
2214,THC,True,-5.1307,14.5703,21.2,634250
2215,TDC,True,-7.5651,4.1446,33.85,397317
2216,TVE,False,-0.7393,1.0305,25.68,5312
2217,TVC,False,-1.5739,2.7,26.62,3600
2218,TEX,True,-5.7859,4.5377,25.57,557219
2219,TEN,False,-8.9602,17.237,9.97,387351
2220,TX,False,-15.6727,4.94,18.0,171118
2221,TRNO,False,-2.238,2.1667,49.64,127229
2222,TTI,False,-7.0588,15.1079,1.85,166034
2223,TPL,False,-8.7431,4.8947,660.15,3208
2224,TGH,False,-16.612,4.5311,6.91,43788
2225,AES,True,-3.799,3.0375,15.17,2357945
2226,BX,True,-4.4831,4.8627,47.65,3679408
2227,TXT,True,-9.5317,3.4504,45.39,619426
2228,TEVA,False,-9.834,6.7879,7.04,10182180
2229,SCHW,True,-4.6871,3.37,37.68,3019524
2230,GRX,False,-2.8222,2.0932,10.54,9636
2231,CEE,False,-2.7816,1.9814,25.96,3
2232,GDL,False,-1.6216,2.0833,9.31,716
2233,THGA,False,-1.8363,0.8283,25.7,1912
2234,COO,False,-2.7414,2.2579,340.18,141461
2235,TRV,True,-2.893,1.4104,148.22,612126
2236,MSG,False,-2.8667,2.6862,290.46,66591
2237,TMO,True,-2.3142,2.7937,275.17,681570
2238,RUBI,False,-7.1138,35.7424,10.17,253843
2239,THG,False,-2.9403,2.2205,132.02,139640
2240,THR,False,-6.1728,4.31,22.5,42061
2241,TCRW,False,-1.029,0.8929,25.7,82
2242,VAM,False,-1.4743,1.0893,13.94,0
2243,TSLF,False,-0.7213,0.4676,15.0,8158
2244,TCRZ,False,-0.47,0.5661,25.46,0
2245,TPRE,False,-5.3862,4.9844,9.91,168074
2246,THO,True,-4.6324,4.106,49.11,411084
2247,TIF,True,-2.8641,3.5999,87.84,660091
2248,TLYS,False,-4.3956,4.4888,8.37,121946
2249,TDW,False,-10.138,5.0871,16.16,74113
2250,TRI,False,-2.9967,4.373,67.25,132088
2251,TMST,False,-7.7253,5.1163,6.0,137565
2252,TSU,True,-4.381,6.2207,15.23,380334
2253,TKR,True,-5.6942,3.3151,41.42,346138
2254,TWI,False,-13.0435,6.3158,3.05,91236
2255,TJX,True,-3.6107,3.2544,53.54,2883108
2256,TOL,True,-2.7207,2.1253,35.86,487806
2257,BLD,False,-2.5112,5.7315,91.69,121274
2258,TR,False,-2.625,2.8682,37.0,52710
2259,TMK,True,-3.3542,2.4538,88.1,255203
2260,NDP,False,-14.6667,3.7464,4.35,8832
2261,TD,True,-1.9305,1.5018,56.33,432437
2262,TTC,True,-2.1463,2.3263,72.45,211693
2263,TYG,False,-2.3288,1.86,21.52,66998
2264,NTG,False,-3.0698,1.6153,12.34,96978
2265,TPZ,False,-2.6674,2.03,17.72,5881
2266,TTP,False,-3.3333,2.17,12.93,12565
2267,TOT,True,-3.0238,2.0141,49.43,575297
2268,TSS,True,-4.752,2.5832,128.05,503382
2269,TOWR,False,-2.1173,69.6223,30.89,64793
2270,TPGH,False,-1.1494,0.8738,10.28,1607
2271,TM,False,-1.5862,1.4517,129.42,56020
2272,TSLX,False,-2.1956,2.3725,20.38,73571
2273,TAC,False,-3.7267,6.5466,6.35,44230
2274,TRP,True,-1.5641,2.47,49.48,468232
2275,TSQ,False,-6.8905,13.0268,6.11,4593
2276,RIG,False,-8.0139,11.3594,4.3,7437931
2277,TRTX,False,-1.9527,1.1006,19.69,118002
2278,TGS,False,-48.0355,8.07,8.92,144292
2279,TRU,True,-2.7883,9.5187,82.11,334581
2280,TDG,False,-2.0427,13.6692,548.21,141133
2281,TREC,False,-5.9524,2.9279,9.03,12729
2282,TCI,False,-12.2471,6.4615,23.69,272
2283,TG,False,-2.5959,5.4482,18.19,33883
2284,THS,True,-6.1854,3.0994,52.26,274655
2285,TY,False,-2.4381,1.4378,26.64,13005
2286,TPH,True,-5.0366,4.3682,13.67,701385
2287,TRCO,True,-0.2581,0.2809,46.59,267169
2288,TNET,False,-4.708,6.2993,72.68,61950
2289,TPVG,False,-2.8123,2.9696,15.47,74969
2290,TRN,True,-11.5942,3.4375,18.2,567897
2291,TSE,False,-12.0857,5.4534,30.16,180184
2292,TREX,True,-4.8685,19.1267,83.99,267484
2293,TGI,False,-7.5411,10.337,23.01,152737
2294,TROX,False,-8.8263,5.5652,8.14,520739
2295,TNP,False,-7.5988,3.6364,2.8,66959
2296,TRTN,False,-4.7051,4.4534,31.38,155552
2297,GTS,False,-5.3548,15.681,25.58,38145
2298,TPVY,False,-3.2675,3.9456,25.71,120
2299,TBI,False,-13.1941,3.9708,19.93,75692
2300,TUP,True,-19.0797,6.6574,14.24,303429
2301,TKC,False,-6.8792,6.9343,5.5,186082
2302,TRQ,False,-43.9252,5.9667,0.4731,1384328
2303,TPC,False,-9.6833,4.7364,10.13,140163
2304,TPB,False,-10.7003,4.8706,37.71,65485
2305,TWO,True,-2.5564,2.4187,13.32,1650606
2306,TWLO,True,-6.8661,6.2793,132.05,2256752
2307,TWTR,True,-5.7876,8.9192,41.81,5372634
2308,TYL,False,-3.0151,5.781,254.85,47635
2309,TSN,True,-4.1265,5.1028,87.82,1314245
2310,USB,True,-4.2937,2.2247,52.83,2102684
2311,SLCA,True,-14.8629,24.0777,12.69,504776
2312,USPH,False,-4.307,5.8275,134.2,42794
2313,UBS,True,-3.6615,2.3941,10.63,1048658
2314,USX,False,-10.9278,8.0851,4.07,115306
2315,UGI,True,-3.5411,2.1867,47.05,688727
2316,UMH,False,-4.8536,4.1935,12.35,76377
2317,UDR,True,-3.1561,3.4152,46.56,769896
2318,UA,True,-13.6941,3.273,17.83,975442
2319,UAA,True,-12.2449,2.7861,19.85,2203291
2320,UFI,False,-3.5135,7.9552,19.47,31226
2321,UGP,False,-6.0547,5.3435,4.76,362233
2322,UNF,False,-1.5367,6.9152,199.71,58459
2323,UN,True,-2.0705,1.1364,57.75,468794
2324,UL,True,-2.1533,1.5952,59.49,379742
2325,UNP,True,-6.052,5.8949,168.78,1172288
2326,UNT,False,-30.26,6.9048,2.71,220519
2327,UIS,False,-7.5214,17.6638,9.0,219555
2328,UMC,False,-4.1284,5.9361,2.04,139237
2329,UPS,True,-3.2005,8.6634,115.83,1193338
2330,USM,False,-17.1007,14.3957,35.17,114432
2331,UNFI,False,-9.8501,6.2433,8.03,304174
2332,URI,True,-7.8941,5.2909,112.52,454875
2333,UTX,True,-3.8682,2.5797,128.95,2013536
2334,X,True,-8.6088,4.4413,12.11,5393102
2335,UTL,False,-3.6096,2.0894,59.01,20648
2336,UZA,False,-1.0192,1.04,25.91,3328
2337,UZC,False,-0.6334,1.2962,26.42,5587
2338,UZB,False,-1.5157,0.7925,26.23,2657
2339,UNH,True,-2.3222,5.5277,249.22,1902630
2340,UVV,False,-5.8639,4.082,52.33,73225
2341,UHT,False,-5.2845,2.9337,94.1,35104
2342,UNVR,True,-4.8913,4.5432,19.36,300078
2343,UVE,False,-3.8769,5.7485,27.44,102261
2344,UTI,False,-6.2361,9.3248,4.19,482
2345,UNMA,False,-0.9094,1.1928,26.92,7602
2346,UE,True,-2.7545,2.7174,16.83,303416
2347,UBA,False,-3.0712,2.1134,21.01,38909
2348,UBP,False,-2.5671,1.789,16.84,268
2349,UHS,True,-2.4526,10.8929,148.97,317732
2350,USAC,False,-5.0028,2.9221,15.49,70582
2351,UNM,True,-6.385,2.7728,27.93,576576
2352,USFD,True,-2.0045,7.9112,38.41,420941
2353,EGY,False,-5.1429,8.2353,1.76,116251
2354,MTN,False,-3.2242,4.2355,239.25,133029
2355,BIF,False,-2.5455,1.0261,10.74,48990
2356,USNA,False,-19.4473,7.5753,69.38,105885
2357,VFC,True,-4.6001,2.3492,82.78,917305
2358,USDP,False,-5.3827,3.0115,11.15,15426
2359,VHI,False,-7.1429,10.4089,1.97,46212
2360,VALE,True,-5.8632,4.5843,11.7,10638589
2361,VMI,False,-2.6672,5.6171,131.97,59656
2362,VAPO,False,-11.3499,7.0769,14.65,12012
2363,VVV,True,-2.7535,7.2313,22.16,471370
2364,VLO,True,-7.6642,4.0426,78.74,1653406
2365,VAR,True,-9.506,2.5711,110.57,254376
2366,VGR,False,-4.1494,16.3883,11.52,351566
2367,VEDL,False,-4.6414,5.8045,7.92,217557
2368,VEEV,True,-5.1153,3.2086,162.34,644928
2369,VEC,False,-4.0118,11.6746,41.77,49921
2370,VNTR,False,-16.0494,7.5472,2.1,80966
2371,VTR,True,-2.8737,3.0686,71.29,987160
2372,VNE,False,-4.3089,5.702,16.34,137186
2373,VER,False,-3.1419,5.2402,9.52,4654553
2374,VRTV,False,-13.0275,10.8472,16.88,31377
2375,VET,True,-7.6923,3.4895,15.39,210715
2376,VSM,True,-0.6943,0.5623,51.86,205492
2377,VRS,False,-6.4893,3.9192,11.64,124570
2378,VVI,False,-2.7948,2.12,67.13,29761
2379,VICI,True,-2.2378,1.52,21.26,2192604
2380,VNCE,False,-6.1135,6.1586,12.69,2152
2381,VIPS,False,-8.3333,4.8942,6.57,2425451
2382,VZ,True,-2.5566,2.5944,56.37,6938475
2383,ZTR,False,-3.8925,1.7241,10.72,43195
2384,VGI,False,-3.8197,1.3503,12.63,17362
2385,ZF,False,-2.9438,2.5,10.67,49396
2386,V,True,-4.8247,2.6124,178.61,3994229
2387,VSH,True,-4.5398,4.6441,15.83,371496
2388,VPG,False,-10.7824,4.3936,32.06,20433
2389,VSTO,False,-21.5156,4.9645,4.97,214535
2390,VST,True,-4.7497,3.1278,22.59,1955960
2391,VSLR,False,-19.1398,12.5,7.47,530124
2392,VOC,False,-6.3248,8.0178,5.18,7402
2393,VCRA,False,-8.3541,4.6358,24.28,108814
2394,VSI,False,-7.5188,42.511,6.41,160560
2395,VNO,True,-2.8799,2.5292,61.48,361595
2396,VMW,True,-8.2976,2.9656,158.0,605801
2397,IHD,False,-3.2349,1.3106,6.98,36181
2398,VOYA,True,-5.4212,4.07,50.16,607793
2399,IAE,False,-4.4393,2.7523,8.14,15804
2400,VG,True,-5.2122,14.6883,13.66,1225050
2401,IID,False,-2.1164,1.2965,5.59,9170
2402,IGD,False,-1.9847,1.5408,6.45,149650
2403,IRR,False,-4.5889,3.6093,4.52,17560
2404,IGA,False,-1.7625,1.633,10.66,26608
2405,VJET,False,-6.6667,5.0562,1.7,2625
2406,WPC,True,-4.1887,2.32,87.92,327753
2407,IDE,False,-3.2129,1.5966,11.17,35644
2408,VMC,True,-2.2103,3.1386,140.69,512561
2409,WRB,True,-2.5318,3.0494,72.15,254097
2410,PPR,False,-1.0482,0.8403,4.7,100574
2411,WTI,False,-8.6869,5.9382,4.8,1371396
2412,WNC,False,-3.4744,3.8867,14.97,156456
2413,GRA,False,-6.3158,2.3781,64.97,161787
2414,WBC,False,-0.4004,0.4494,132.59,153077
2415,WAGE,False,-3.2234,1.8025,51.24,141544
2416,GWW,True,-4.5975,9.0717,268.22,217628
2417,WD,False,-3.1035,3.5753,57.08,60785
2418,WDR,True,-4.785,3.4504,15.89,404109
2419,HCC,True,-12.692,3.79,21.13,350914
2420,WPG,False,-8.0808,7.1839,3.54,874694
2421,WCN,True,-2.6235,2.3014,93.07,304130
2422,WMT,True,-3.2724,2.04,107.41,2688694
2423,DIS,True,-4.9411,2.5813,137.01,4150852
2424,WM,True,-2.5358,2.048,119.02,978706
2425,WSO,False,-3.2099,2.0654,159.48,67796
2426,WAT,True,-2.915,2.5941,208.08,344293
2427,WRE,False,-3.1084,2.5155,26.28,155192
2428,W,True,-5.8553,4.8395,125.0,584720
2429,WBS,True,-3.8056,3.3834,48.14,206026
2430,WSO.B,False,-5.4154,4.7527,155.25,0
2431,WEI,False,-3.7895,2.5834,7.3,55
2432,WTS,False,-2.5638,2.613,93.45,56596
2433,WRI,True,-2.5298,2.3863,27.52,381213
2434,WMK,False,-2.3206,3.2683,38.37,34170
2435,WCG,True,-3.0748,2.3047,279.73,217152
2436,WEC,True,-1.8955,2.0126,89.67,874412
2437,WBT,True,-4.2941,5.3376,15.97,644573
2438,WFC,True,-3.0186,2.6483,45.96,10438423
2439,EOD,False,-1.275,1.676,5.45,50862
2440,WAIR,True,-6.0519,7.3643,11.0,200618
2441,WAL,True,-6.0073,3.4405,44.15,264800
2442,WALA,False,-1.5573,1.5819,26.83,736
2443,WEA,False,-3.0324,3.5689,13.66,10813
2444,WELL,True,-2.6771,2.9728,87.85,1113262
2445,EMD,False,-2.7529,0.7868,13.9,59708
2446,TLI,False,-0.7254,0.7599,9.53,9692
2447,WST,False,-1.4163,8.6612,145.07,143029
2448,GDO,False,-1.8476,1.6959,17.11,7688
2449,WCC,True,-7.9819,3.4828,44.66,266803
2450,EHI,False,-0.92,0.9184,9.77,45004
2451,HIX,False,-2.1337,1.2987,6.87,106461
2452,HIO,False,-1.581,1.9881,5.03,61067
2453,SBI,False,-0.5423,0.8753,9.22,5132
2454,IGI,False,-2.8837,2.9497,21.01,8532
2455,DMO,False,-2.5056,2.1481,21.8,11031
2456,MMU,False,-2.9278,3.2236,14.79,32570
2457,HYI,False,-1.3123,1.3271,15.01,37752
2458,MTT,False,-0.6413,0.772,22.17,8199
2459,MNP,False,-0.7989,0.5337,15.41,8128
2460,MHF,False,-1.3228,0.9383,7.56,2620
2461,PAI,False,-2.9936,2.408,15.19,8016
2462,GFY,False,-1.6383,1.9865,16.4,282
2463,WMC,False,-2.6549,2.006,9.71,137048
2464,WIW,False,-0.8007,0.7162,11.22,31894
2465,WES,False,-11.4754,2.6359,24.11,156821
2466,WU,True,-3.5289,3.4614,21.41,2369729
2467,WIA,False,-0.9442,1.2163,11.7,10333
2468,WLK,True,-4.3578,3.84,62.78,336155
2469,WLKP,False,-2.9563,1.0382,21.72,7196
2470,WAB,True,-6.3771,9.4515,67.08,622764
2471,WBK,False,-2.5026,1.75,19.41,79371
2472,WRK,True,-4.559,4.13,34.65,1025409
2473,WHG,False,-5.5025,6.6344,29.86,17450
2474,WEX,False,-6.9473,3.27,205.0,150520
2475,WY,True,-2.6064,4.5473,25.09,1643829
2476,WPM,True,-3.9353,6.4425,26.52,1049736
2477,WHR,True,-3.9636,3.2453,135.7,191504
2478,WSR,False,-2.8892,1.8669,12.56,112228
2479,WTM,False,-1.227,1.9129,1090.37,6583
2480,WLL,False,-38.6878,8.2734,9.27,3901922
2481,WSM,True,-3.7942,5.5929,66.1,556536
2482,WNS,False,-1.3068,6.423,62.79,51795
2483,WWW,True,-5.5596,5.3021,25.07,226171
2484,WGO,False,-5.3649,4.8069,36.08,152125
2485,WOW,False,-7.2136,5.1075,5.69,57010
2486,WIT,False,-3.0303,2.8986,3.91,529636
2487,WK,False,-8.52,12.8057,57.04,123523
2488,WMB,True,-4.918,3.5714,23.89,3105338
2489,INT,True,-3.4309,10.4178,37.94,206754
2490,WWE,True,-5.6208,8.6571,66.7,447884
2491,WP,False,-3.1895,3.1661,135.0,0
2492,WPP,False,-3.1398,5.1883,58.59,83376
2493,WOR,False,-3.998,3.4971,37.16,119618
2494,WH,True,-3.9138,3.7921,54.22,412289
2495,WYND,True,-6.8848,3.9196,40.91,363777
2496,XRX,True,-5.1144,2.3569,28.35,805912
2497,XFLT,False,-2.5974,2.1786,9.31,16353
2498,WPX,False,-10.3448,10.9742,10.27,3813110
2499,XIN,False,-3.63,3.856,3.86,14862
2500,XYL,True,-3.7792,2.1744,77.04,396202
2501,XPO,True,-6.4888,10.9792,67.56,499795
2502,AUY,False,-3.9683,8.9686,3.29,8600115
2503,XYF,False,-7.7491,7.41,2.7,10610
2504,XHR,True,-4.0758,4.5926,21.22,204218
2505,YELP,True,-5.1217,5.2074,34.62,466348
2506,YETI,True,-6.962,12.3296,29.72,762624
2507,YRD,False,-10.698,4.0909,9.84,17669
2508,YPF,True,-34.0528,6.7179,11.35,632819
2509,YEXT,True,-5.7296,4.637,20.45,247909
2510,YUM,True,-2.0837,3.9282,117.13,825033
2511,ZAYO,True,-0.574,0.7293,33.82,568590
2512,ZEN,True,-10.2663,4.69,78.06,725282
2513,YUMC,True,-5.2026,5.3806,43.07,1042800
2514,ZBH,True,-2.2815,8.5465,138.17,529176
2515,ZBK,False,-1.6184,1.6101,29.22,43
2516,ZTS,True,-3.2571,7.6397,124.7,1051999
2517,ZUO,True,-5.8665,5.2274,13.9,470556
2518,ZYME,False,-9.2216,9.503,23.61,80501
2519,ZTO,True,-4.5026,3.0335,19.03,946257
0,AAC,False,-14.6369,8.1633,0.8101,53244
1,WBAI,False,-10.1001,11.7409,9.53,13158
2,WUBA,True,-4.5911,3.9193,53.5,355448
3,EGHT,True,-8.5855,4.4695,25.25,786595
4,AIR,False,-2.664,5.3674,40.93,91429
5,AHC,False,-4.4321,3.966,3.67,4926
6,MMM,True,-3.4242,2.1118,164.88,1457357
7,DDD,False,-14.1104,5.8072,7.0,861943
8,AOS,True,-3.8724,3.3546,45.57,1230488
9,ATEN,False,-3.9894,4.5517,7.13,201152
10,ABB,True,-4.089,2.4363,18.77,1342050
11,AAN,True,-3.8923,3.2164,64.63,334769
12,ABT,True,-3.0995,3.1265,86.89,2864651
13,ANF,True,-11.1992,4.2832,16.73,1407351
14,AGD,False,-2.0148,1.71,9.36,25284
15,JEQ,False,-2.3679,0.8721,6.99,3212
16,ABBV,True,-1.6011,1.6502,65.01,5615783
17,AWP,False,-5.6726,1.85,5.93,202474
18,AOD,False,-2.3058,1.2422,8.16,141660
19,ACP,False,-2.6899,1.9544,12.44,36332
20,AKR,True,-3.1945,3.6445,27.85,280077
21,ACN,True,-3.8651,2.8115,192.88,1090004
22,ACCO,False,-2.4272,20.1474,9.56,345934
23,ABM,False,-2.9246,2.5955,39.91,180900
24,ATV,False,-4.2783,3.7464,17.31,48
25,AYI,False,-2.5288,2.5949,128.34,158743
26,ATU,False,-4.4105,3.615,21.88,185748
27,GOLF,False,-3.9294,4.0484,25.99,66496
28,AGRO,False,-16.0284,4.2489,5.64,67832
29,ADNT,True,-10.2737,31.8653,24.18,769185
30,PEO,False,-2.9747,2.5692,15.37,31705
31,ADT,False,-6.1873,5.0489,4.53,880403
32,ATGE,True,-4.2466,4.3674,48.11,190636
33,AAP,True,-5.3438,1.7871,142.23,763611
34,ADX,False,-3.1072,2.0874,15.63,66370
35,ADSW,True,-0.5224,0.4333,32.49,335862
36,ASIX,False,-7.3025,4.2656,22.67,96063
37,WMS,False,-1.8193,2.672,32.94,137645
38,AVK,False,-2.9015,1.17,14.53,63467
39,AEH,False,-1.0606,0.6865,26.27,17467
40,AER,True,-2.2041,8.1548,52.22,450534
41,HIVE,False,-0.2252,0.4505,4.44,0
42,AEB,False,-1.2474,1.1859,24.0,4009
43,AJRD,True,-3.5008,13.6704,48.8,254458
44,ACM,True,-2.8651,2.8981,33.58,399273
45,AEG,False,-4.8117,1.3889,4.25,488893
46,AFL,True,-2.3011,1.4776,52.92,1952414
47,AMG,True,-3.7757,3.0353,79.25,322997
48,MITT,False,-1.4067,1.1314,16.06,95725
49,AGCO,True,-7.8729,5.0282,67.87,393294
50,AEM,True,-3.5991,4.1356,58.68,1121548
51,APD,True,-1.7478,2.0182,229.67,599548
52,AKS,False,-6.0,18.1102,2.53,4839969
53,AYR,False,-2.5974,3.3116,20.65,109298
54,A,True,-3.2609,2.7331,67.64,1866212
55,AL,True,-3.0151,4.3202,38.98,472193
56,ADC,False,-2.726,5.8421,70.83,146012
57,AGI,False,-4.4503,8.5496,6.99,1853486
58,ALG,False,-1.7634,11.7581,107.61,30880
59,ALK,True,-2.8469,3.547,61.17,746638
60,ALB,True,-4.7612,8.7291,68.45,741158
61,AIN,False,-3.2767,8.8481,82.81,103291
62,ALEX,False,-3.417,4.747,22.81,158294
63,AA,True,-5.1578,3.09,19.11,2393866
64,AQNA,False,-0.8948,0.7584,27.49,3769
65,AQN,False,-1.1755,1.5067,12.98,171558
66,ARE,True,-1.6997,2.6847,144.26,349401
67,Y,False,-2.4608,6.1165,753.53,35698
68,ALLE,True,-3.151,0.8339,97.46,415077
69,AGN,True,-1.0959,0.81,159.94,2400270
70,ALX,False,-2.2321,1.1264,361.68,4744
71,BABA,True,-4.5528,2.88,164.03,11894293
72,ALE,False,-1.6709,1.5256,84.91,86289
73,ADS,True,-4.0759,4.8162,152.44,501931
74,AWF,False,-1.8349,0.7647,11.81,86396
75,AB,False,-5.8844,4.1435,27.43,85188
76,ATI,True,-7.2222,3.3129,18.24,942956
77,NCV,False,-3.0252,1.7391,5.7,163830
78,CBH,False,-1.3029,2.2926,9.3,19756
79,AFB,False,-0.4431,0.5935,13.74,19347
80,NCZ,False,-3.0888,0.8,5.0,106429
81,ACV,False,-2.878,1.8576,23.95,15567
82,NIE,False,-3.3164,1.8727,21.75,28832
83,ALSN,True,-3.1623,3.47,43.57,532021
84,ALL,True,-2.6122,5.4699,104.44,893722
85,NFJ,False,-2.7441,1.5677,12.16,82791
86,ALLY,True,-4.025,6.4865,31.33,1775885
87,MO,True,-3.5977,2.184,46.78,4086783
88,ACH,False,-4.194,4.3296,7.37,19251
89,ABEV,False,-3.3663,9.0909,4.87,14710679
90,AMC,True,-4.8183,9.5634,11.67,1753319
91,AMRC,False,-4.539,9.3726,14.22,47236
92,AYX,True,-3.465,11.9364,135.33,596173
93,ATUS,True,-2.7798,5.153,26.7,2534839
94,AEE,True,-1.5293,1.4624,76.51,847716
95,AMOV,False,-4.2705,4.8313,13.5,557
96,AMX,True,-3.5461,3.5666,13.72,987644
97,AAT,False,-2.6692,2.2122,46.9,117256
98,AEO,True,-7.8575,5.1694,16.38,2245666
99,AEL,True,-7.093,2.0179,22.64,260763
100,AEP,True,-1.6129,1.2724,90.25,1338335
101,AFG,False,-2.945,2.4809,102.33,150518
102,AFGE,False,-0.4639,0.3486,25.95,1951
103,AXL,False,-14.882,6.6782,7.59,905328
104,AXP,True,-2.8879,1.88,126.32,1576298
105,ACC,True,-1.7304,1.8904,46.81,321610
106,AMH,True,-2.497,1.9704,24.53,1007404
107,AFGH,False,-1.84,0.65,26.17,4232
108,AMID,False,0.0,0.0,5.24,109891
109,ARA,False,-4.026,11.157,7.22,68894
110,AWR,False,-1.8834,3.2459,84.24,106301
111,ARL,False,-10.8633,3.7127,12.28,454
112,AMT,True,-1.4857,1.9204,221.1,868931
113,AIG,True,-2.7977,4.4293,56.12,1828885
114,AVD,False,-4.5904,3.997,13.61,36664
115,ANFI,False,-5.1286,12.5,0.6286,104105
116,ABC,True,-5.1747,5.2209,89.26,595909
117,AWK,True,-1.936,1.9516,121.83,622414
118,AP,False,-5.1345,13.2964,3.98,3499
119,AMN,False,-3.5362,6.4554,55.78,150003
120,APU,True,-2.6292,0.7988,31.24,258046
121,COLD,True,-1.5727,2.5217,35.43,966309
122,APH,True,-6.0797,2.2,88.01,951316
123,AMP,True,-4.8096,2.9683,128.72,533619
124,AME,True,-2.7977,2.4845,86.09,734043
125,AMRX,False,-7.932,6.686,2.85,1127379
126,AXR,False,-9.4,4.9636,5.53,149
127,APC,True,-0.8948,1.0923,72.77,3686322
128,AU,True,-8.9648,10.0234,19.57,1600537
129,PLAN,True,-4.5699,4.0058,56.68,522286
130,ANDX,False,-6.2372,1.7364,32.17,0
131,AXE,False,-4.5862,5.7592,59.12,75776
132,BUD,True,-1.9962,5.5294,95.67,925765
133,NLY,False,-2.1231,2.2532,9.21,8712592
134,AM,False,-9.309,2.7273,7.22,3065613
135,AR,False,-8.7398,12.3762,3.52,4538611
136,ANTM,True,-4.521,2.6162,286.9,798307
